SalaryID,PlayerName,SeasonStartYear,Salary,InflationAdjSalary
436,Robert Horry,1997,"$6,000,000","$10,169,532"
437,Allan Houston,1997,"$6,000,000","$10,169,532"
438,Shawn Bradley,1997,"$5,940,000","$10,067,836"
439,Grant Hill,1997,"$5,850,000","$9,915,293"
440,Otis Thorpe,1997,"$5,700,000","$9,661,055"
441,Glenn Robinson,1997,"$5,510,000","$9,339,020"
442,Clyde Drexler,1997,"$5,500,000","$9,322,071"
443,Tom Gugliotta,1997,"$5,500,000","$9,322,071"
444,Steve Smith,1997,"$5,400,000","$9,152,578"
445,Sean Elliott,1997,"$5,333,333","$9,039,583"
446,Dale Davis,1997,"$5,273,333","$8,937,888"
447,Jason Kidd,1997,"$5,223,333","$8,853,142"
448,Karl Malone,1997,"$5,118,578","$8,675,590"
449,John Starks,1997,"$5,112,500","$8,665,288"
450,A.C. Green,1997,"$5,095,088","$8,635,776"
451,Christian Laettner,1997,"$5,050,000","$8,559,356"
452,Kenny Anderson,1997,"$5,010,000","$8,491,559"
453,Brian Grant,1997,"$5,000,000","$8,474,610"
454,John Stockton,1997,"$5,000,000","$8,474,610"
455,Vlade Divac,1997,"$4,833,333","$8,192,122"
456,Tim Hardaway,1997,"$4,800,000","$8,135,625"
457,Glen Rice,1997,"$4,702,000","$7,969,523"
458,Harvey Grant,1997,"$4,671,875","$7,918,463"
459,Jim Jackson,1997,"$4,600,000","$7,796,641"
460,Charles Smith,1997,"$4,576,343","$7,756,543"
461,Ron Harper,1997,"$4,560,000","$7,728,844"
462,Toni Kukoc,1997,"$4,560,000","$7,728,844"
463,John Williams,1997,"$4,550,000","$7,711,895"
464,Dennis Rodman,1997,"$4,500,000","$7,627,149"
465,Antonio Davis,1997,"$4,500,000","$7,627,149"
466,Jamal Mashburn,1997,"$4,433,334","$7,514,155"
467,Kendall Gill,1997,"$4,400,000","$7,457,656"
468,Sherman Douglas,1997,"$4,297,250","$7,283,503"
469,Billy Owens,1997,"$4,225,200","$7,161,384"
470,Isaiah Rider,1997,"$4,210,000","$7,135,621"
471,Jeff Hornacek,1997,"$4,195,000","$7,110,197"
472,Tyrone Hill,1997,"$4,110,000","$6,966,129"
473,Mark Price,1997,"$4,090,920","$6,933,790"
474,Vin Baker,1997,"$4,064,373","$6,888,795"
475,Bison Dele,1997,"$4,050,000","$6,864,434"
476,Bryant Stith,1997,"$4,030,000","$6,830,535"
477,Rony Seikaly,1997,"$4,002,000","$6,783,077"
478,Danny Ferry,1997,"$4,000,000","$6,779,688"
479,Rik Smits,1997,"$4,000,000","$6,779,688"
480,Nick Anderson,1997,"$4,000,000","$6,779,688"
481,Donyell Marshall,1997,"$3,990,000","$6,762,738"
482,PJ Brown,1997,"$3,844,800","$6,516,636"
483,Brian Shaw,1997,"$3,750,000","$6,355,957"
484,Stanley Roberts,1997,"$3,750,000","$6,355,957"
485,Walt Williams,1997,"$3,750,000","$6,355,957"
486,Lionel Simmons,1997,"$3,716,500","$6,299,177"
487,Dell Curry,1997,"$3,660,000","$6,203,414"
488,Chris Gatling,1997,"$3,656,400","$6,197,312"
489,LaPhonso Ellis,1997,"$3,650,000","$6,186,465"
490,Olden Polynice,1997,"$3,610,000","$6,118,668"
491,Derrick McKey,1997,"$3,600,000","$6,101,719"
492,Jim McIlvaine,1997,"$3,600,000","$6,101,719"
493,Calbert Cheaney,1997,"$3,600,000","$6,101,719"
494,Stojko Vrankovic,1997,"$3,580,000","$6,067,820"
