GameID,GameType,HomeTeam,AwayTeam,Date
354,Regular,Portland Trail Blazers,Dallas Mavericks,20-12-1996
355,Regular,Seattle SuperSonics,Los Angeles Clippers,20-12-1996
356,Regular,San Antonio Spurs,Phoenix Suns,21-12-1996
357,Regular,Sacramento Kings,Portland Trail Blazers,21-12-1996
358,Regular,Philadelphia 76ers,Chicago Bulls,21-12-1996
359,Regular,New York Knicks,Detroit Pistons,21-12-1996
360,Regular,New Jersey Nets,Boston Celtics,21-12-1996
361,Regular,Milwaukee Bucks,Orlando Magic,21-12-1996
362,Regular,Charlotte Hornets,Atlanta Hawks,21-12-1996
363,Regular,Minnesota Timberwolves,Los Angeles Lakers,21-12-1996
364,Regular,Houston Rockets,Miami Heat,21-12-1996
365,Regular,Boston Celtics,Charlotte Hornets,22-12-1996
366,Regular,Cleveland Cavaliers,Utah Jazz,22-12-1996
367,Regular,Golden State Warriors,Los Angeles Clippers,22-12-1996
368,Regular,Indiana Pacers,Toronto Raptors,22-12-1996
369,Regular,Seattle SuperSonics,Dallas Mavericks,22-12-1996
370,Regular,Vancouver Grizzlies,Washington Bullets,22-12-1996
371,Regular,San Antonio Spurs,Miami Heat,23-12-1996
372,Regular,Sacramento Kings,Los Angeles Clippers,23-12-1996
373,Regular,Portland Trail Blazers,Washington Bullets,23-12-1996
374,Regular,Phoenix Suns,Denver Nuggets,23-12-1996
375,Regular,Orlando Magic,Cleveland Cavaliers,23-12-1996
376,Regular,New York Knicks,Atlanta Hawks,23-12-1996
377,Regular,Minnesota Timberwolves,Utah Jazz,23-12-1996
378,Regular,Houston Rockets,Milwaukee Bucks,23-12-1996
379,Regular,Chicago Bulls,New Jersey Nets,23-12-1996
380,Regular,Chicago Bulls,Detroit Pistons,25-12-1996
381,Regular,Phoenix Suns,Los Angeles Lakers,25-12-1996
382,Regular,Toronto Raptors,New Jersey Nets,26-12-1996
383,Regular,Seattle SuperSonics,San Antonio Spurs,26-12-1996
384,Regular,Sacramento Kings,Vancouver Grizzlies,26-12-1996
